id,name,has_cargo_toml,has_cargo_lock
MDEwOlJlcG9zaXRvcnk4NTQ1Njk=,dybber/dotfiles,false,false
MDEwOlJlcG9zaXRvcnk4NTgzMDM=,Bootz/Stage6JUNK,false,false
MDEwOlJlcG9zaXRvcnk4NjU5NDY=,DentalTask/main,false,false
MDEwOlJlcG9zaXRvcnk4NjY2NTk=,RandomEtc/modestmaps-cinder,false,false
MDEwOlJlcG9zaXRvcnk4NjY5Nzg=,ezod/minimine,false,false
MDEwOlJlcG9zaXRvcnk4NjcxMDk=,limed/dotfiles,false,false
MDEwOlJlcG9zaXRvcnk4NjgzNTA=,Lexikos/Ahk2Exe_L,false,false
MDEwOlJlcG9zaXRvcnk4Njg5NTg=,Misterblue/LookingGlass-Viewer,false,false
MDEwOlJlcG9zaXRvcnk4NzI2NDA=,getitnowmarketing/Amon-Ra-Style-Recovery-Incredible,false,false
MDEwOlJlcG9zaXRvcnk4ODMxODc=,daniloisr/study,false,false
MDEwOlJlcG9zaXRvcnk4OTYwNzA=,jhanson/dotemacs,false,false
MDEwOlJlcG9zaXRvcnk4OTcwNjI=,hartmann/ClubZoneBook,false,false
MDEwOlJlcG9zaXRvcnk4OTcyMTA=,TaintDroid/android_platform_frameworks_base,false,false
MDEwOlJlcG9zaXRvcnk5MDY2Njg=,possan/randomjunk,false,false
MDEwOlJlcG9zaXRvcnk5MTQ0NjE=,echoline/shelly,false,false
MDEwOlJlcG9zaXRvcnk5MTg0MDk=,Joelgranados/cmucam3,false,false
MDEwOlJlcG9zaXRvcnk5MjA2OTk=,peterbraden/genetic-lisa,false,false
MDEwOlJlcG9zaXRvcnk5MjExMDA=,froderik/roman_numeral_katas,false,false
MDEwOlJlcG9zaXRvcnk5NTQ3NTM=,ggobi/tourr,false,false
MDEwOlJlcG9zaXRvcnk5NTcwMDE=,pbiggar/buggery,false,false
MDEwOlJlcG9zaXRvcnk5NTkxMTQ=,eugenis/sdl_mixer-nacl,false,false
MDEwOlJlcG9zaXRvcnk5NTk5NDc=,nomme/misc,true,false
MDEwOlJlcG9zaXRvcnk5NjY4OTg=,cleverplugs/pyinstaller,false,false
MDEwOlJlcG9zaXRvcnk5NzY0NTI=,Dustinmj/Froyo_Launcher2,false,false
MDEwOlJlcG9zaXRvcnk5Nzg1Mjk=,yielding/code,false,false
MDEwOlJlcG9zaXRvcnk5Nzg4MDE=,jwu/exlibs-c,false,false
MDEwOlJlcG9zaXRvcnk5ODM2NTU=,niyazpk/Project-Euler,false,false
MDEwOlJlcG9zaXRvcnk5ODQ1NzI=,wox2/migrace_databaze,false,false
MDEwOlJlcG9zaXRvcnk5OTI2NTI=,binshengliu/remote-client-launcher,false,false
MDEwOlJlcG9zaXRvcnk5OTQ5MDU=,freesteph/PiTiVi,false,false
MDEwOlJlcG9zaXRvcnkxMDE3MDY3,rhtyd/hacklab,false,false
MDEwOlJlcG9zaXRvcnkxMDIyMzU1,amir73il/e2fsprogs-snapshots,false,false
